KEGG,Human Metabolome Database,InChIKey,Score
"C01825","No result","WQZGKKKJIJFFOK-DHVFOXMCSA-N","1"
"C00159","HMDB0000169","WQZGKKKJIJFFOK-QTVWNMPRSA-N","1"
"C01487","No result","WQZGKKKJIJFFOK-IVMDWMLBSA-N","1"
"C06464","No result","WQZGKKKJIJFFOK-RSVSWTKNSA-N","1"
"C06465","No result","WQZGKKKJIJFFOK-CBPJZXOFSA-N","1"
"C15923","HMDB0012326","WQZGKKKJIJFFOK-QRXFDPRISA-N","1"
"C06466","No result","WQZGKKKJIJFFOK-YIDFTEPTSA-N","1"
"C06467","No result","WQZGKKKJIJFFOK-WHZQZERISA-N","1"
"C06474","No result","WZYRMLAWNVOIEX-BGPJRJDNSA-N","1"
"C06478","No result","WZYRMLAWNVOIEX-SLPGGIOYSA-N","1"
"C00184","HMDB0001882","RXKJFZQQPQGTFL-UHFFFAOYSA-N","1"
"C02022","No result","UQPHVQVXLPRNCX-GSVOUGTGSA-N","1"
"C02045","HMDB0006293","UQPHVQVXLPRNCX-VKHMYHEASA-N","1"
"C00309","No result","LQXVFWRQNMEDEE-ZZKAVYKESA-N","1"
"C00508","No result","LQXVFWRQNMEDEE-QRHDOFTISA-N","1"
"C00310","HMDB0003371","LQXVFWRQNMEDEE-OVEKKEMJSA-N","1"
"C00312","No result","LQXVFWRQNMEDEE-PYHARJCCSA-N","1"
"C00095","No result","RFSUNEUAIZKAJO-VRPWFDPXSA-N","1"
"C01719","No result","RFSUNEUAIZKAJO-NSHGFSBMSA-N","1"
"C00764","No result","LKDRXBCSQODPBY-IANNHFEVSA-N","1"
"C00247","No result","LKDRXBCSQODPBY-AMVSKUEXSA-N","1"
"C00795","No result","LKDRXBCSQODPBY-OEXCPVAWSA-N","1"
"C06468","No result","LKDRXBCSQODPBY-JDJSBBGDSA-N","1"
"C02076","No result","HAIWUXASLYEWLM-QTSLKERKSA-N","1"
"C19612","No result","INYHXAFWZQXELF-FNKGTGPASA-N","1"
"C01801","No result","PDWIQYODPROSQH-PYHARJCCSA-N","1"
"C01018","No result","SHZGCJCMOBCMKK-SVZMEOIVSA-N","1"
"C01019","HMDB0000174","SHZGCJCMOBCMKK-DHVFOXMCSA-N","1"
"C01684","No result","SHZGCJCMOBCMKK-PQMKYFCFSA-N","1"
"C00507","HMDB0000849","SHZGCJCMOBCMKK-JFNONXLTSA-N","1"
"C00586","No result","PMMURAAUARKVCB-CERMHHMHSA-N","1"
"C02522","No result","SHZGCJCMOBCMKK-GASJEMHNSA-N","1"
"C02781","HMDB0012327","PMMURAAUARKVCB-DUVQVXGLSA-N","1"
"C06471","No result","KYPWIZMAJMNPMJ-JDJSBBGDSA-N","1"
"C00329","No result","MSWZFWKMSRAUBD-IVMDWMLBSA-N","1"
"C02262","No result","MSWZFWKMSRAUBD-GASJEMHNSA-N","1"
"C03570","No result","MSWZFWKMSRAUBD-CBPJZXOFSA-N","1"
"C15478","No result","TVTGZVYLUHVBAJ-GASJEMHNSA-N","1"
"C15479","No result","TVTGZVYLUHVBAJ-IVMDWMLBSA-N","1"
"C06469","No result","CERZMXAJYMMUDR-QBTAGHCHSA-N","1"
"C06470","No result","MSFSPUZXLOGKHJ-PGYHGBPZSA-N","1"
"C00140","No result","OVRNDRQMDRJTHS-RTRLPJTCSA-N","1"
"C01132","No result","OVRNDRQMDRJTHS-KEWYIRBNSA-N","1"
"C00645","HMDB0001129","OVRNDRQMDRJTHS-ZTVVOAFPSA-N","1"
"C15480","No result","XOCCAGJZGBCJME-IANFNVNHSA-N","1"
"C15481","No result","XOCCAGJZGBCJME-ZQLGFOCFSA-N","1"
"C00270","No result","SQVRNKJHWKZAKO-LUWBGTNYSA-N","1"
"C02713","HMDB0060493","MNLRQHMNZILYPY-MKFCKLDKSA-N","1"
"C03525","No result","BJOZNDRNJJZHPZ-LUWBGTNYSA-N","1"
"C03410","HMDB0062502","FDJKUWYYUZCUJX-PGIATKPXSA-N","1"
"C00905","No result","PTCIWUZVDIQTOW-XDJBDKDSSA-N","1"
"C00558","No result","PTCIWUZVDIQTOW-QNZBUJBTSA-N","1"
"C00191","No result","AEMOLEFTQBMNLQ-AQKNRBDQSA-N","1"
