KEGG,Human Metabolome Database,InChIKey,Score
C00304,No result,OVRAJPVCMXSZJC-RYRWEOBNSA-N,1
C01918,No result,VEGXETMJINRLTH-BOZYPMBZSA-N,1
C17585,No result,XEQLFNPSYWZPOW-SVRMBHBBSA-N,1
C01912,No result,ULGZDMOVFRHVEP-RWJQBGPGSA-N,1
C01946,No result,RZPAKFUAFGMUPI-QESOVKLGSA-N,1
C01457,No result,WBPYTXDJUQJLPQ-VMXQISHHSA-N,1
C06690,No result,YKSVGLFNJPQDJE-NINSUVFSSA-N,1
C11222,No result,QTQAWLPCGQOSGP-KSRBKZBZSA-N,1
C12247,No result,PHKOJKSYBBXXED-OCENJLCRSA-N,1
C06688,No result,JQXXHWHPUNPDRT-WLSIYKJHSA-N,1
C06571,No result,CYDMQBQPVICBEU-XRNKAMNCSA-N,1
C06691,No result,VTIKDEXOEJDMJP-WYUUTHIRSA-N,1
C06764,No result,NKNPHSJWQZXWIX-DCVDGXQQSA-N,1
C06693,No result,GAOZTHIDHYLHMS-KEOBGNEYSA-N,1
C06689,No result,MYPYJXKWCTUITO-FJCYQOGASA-N,1
C12046,No result,GHOXVFYORXUCPY-PKMGYIMSSA-N,1
C01895,No result,NBLHOLNNKJBEDC-XOGQCRKLSA-N,1
C06684,No result,FCFNRCROJUBPLU-UYBNATROSA-N,1
C06770,No result,RJURFGZVJUQBHK-UHFFFAOYSA-N,1
C06763,No result,BGMYHTUCJVZIRP-GASJEMHNSA-N,1
C06765,No result,PERZMHJGZKHNGU-JGYWJTCASA-N,1
C06682,No result,DYDCUQKUCUHJBH-UHFFFAOYSA-N,1
C06692,No result,YFZNSPMAOIVQRP-KHZLDBTCSA-N,1
C06685,No result,YPHMISFOHDHNIV-FSZOTQKASA-N,1
C06695,No result,IZXIZTKNFFYFOF-UHFFFAOYSA-N,1
