PLATE,NROW,NCOL,CNAME,SMILES,FORMULA,MW (as put into the well),Formula (as seen in MS),Neutral mass,M+H,M-H,CHARGE,PARENT_CID(KEGG),CAS,CHEBI,HMDB,PC_CID,PC_SID,METLIN_ID
5,F,2,N6-(DELTA2-ISOPENTENYL)-ADENINE,CC(=CCNC1=NC=NC2=C1NC=N2)C,C10H13N5,203.1171,C10H13N5,203.11710,204.12490,202.10930,,C04083,2365-40-4,17660,,92180,6776,
5,F,3,METHYL VANILLATE,COC1=C(C=CC(=C1)C(=O)O)O,C8H8O4,182.05791,C9H10O4,182.05791,183.06571,181.05011,,C06672,3943-74-6,30816,,8468,8897,
5,F,4,2-OXOBUTANOATE,CCC(=O)C(=O)O,C4H6O3,102.0317,C4H6O3,102.03170,103.03950,101.02390,,C00109,600-18-0,30831,HMDB00005,58,3409,
5,F,5,LIPOAMIDE,C1CSSC1CCCCC(=O)N,C8H15NOS2,205.05951,C8H15NOS2,205.05951,206.06731,204.05171,,C00248,940-69-2,17460,HMDB00962,863,3547,3372
5,F,6,3-HYDROXYANTHRANILATE,C1=CC(=C(C(=C1)O)N)C(=O)O,C7H7NO3,153.04259,C7H7NO3,153.04259,154.05039,152.03479,,C00632,548-93-6,15793,HMDB01476,86,3905,3275
5,F,7,3-(4-HYDROXYPHENYL)PYRUVATE,C1=CC(=CC=C1CC(=O)C(=O)O)O,C9H8O4,180.04226,C9H8O4,180.04226,181.05006,179.03446,,C01179,156-39-8 ,15999,HMDB00707,979,4406,5675
5,F,8,HEXANOATE,CCCCCC(=O)O,C6H12O2,116.08373,C6H12O2,116.08373,117.09153,115.07593,,C01585,142-62-1,30776,HMDB00535,8892,4740,5520
5,F,9,METHYLMALONATE,CC(C(=O)O)C(=O)O,C4H6O4,118.02661,C4H6O4,118.02661,119.03441,117.01881,,C02170,516-05-2,30860,HMDB00202,487,5245,3712
5,F,10,SEROTONIN CREATININE SULFATE COMPLEX,CN1CC(=O)N=C1N.C1=CC2=C(C=C1O)C(=CN2)CCN.O.OS(=O)(=O)O,C14H23N5O7S,405.13182,C14H23N5O7S,405.13182,406.13962,404.12402,,CA1169,971-74-4,,,245870,,
5,F,11,CORTISOL 21-ACETATE,O=C(OCC(=O)[C@@]1(O)CC[C@H]2[C@H]4[C@H]([C@@H](O)C[C@]12C)[C@@]3(/C(=C\C(=O)CC3)CC4)C)C,C23H32O6,404.21989,C23H32O6,404.21989,405.22769,403.21209,,C02821,50-03-3,17609,,5744,5769,
